Symbol,Security Name
WPIL.BO,WPIL Ltd
KENNAMET.BO,Kennametal India Ltd
HINDHARD.BO,Hindustan Hardy Ltd
TRITONV.BO,Triton Valves Ltd
SUDAI.BO,Sudal Industries Ltd
PRAKASH.BO,Prakash Industries Ltd
ARSHIYA.BO,Arshiya Ltd
GRINDWELL.BO,Grindwell Norton Ltd
LAKPRE.BO,Lakshmi Precision Screws Ltd
STANROS.BO,Stanrose Mafatlal Investments & Finance Ltd
GENESYS.BO,Genesys International Corporation Ltd
ALNATRD.BO,Alna Trading & Exports Ltd
VOLKAI.BO,Kairosoft AI Solutions Ltd
PARNAXLAB.BO,Parnax Lab Ltd
GOURMET.BO,Gourmet Gateway India Ltd
VIVIDHA.BO,Visagar Polytex Ltd
ISHWATR.BO,Ishwarshakti Holdings & Traders Ltd
EMERGENT.BO,Emergent Industrial Solutions Ltd
KANANIIND.BO,Kanani Industries Ltd
GCKL.BO,Galaxy Cloud Kitchens Ltd
ARIHANTSUP.BO,Arihant Superstructures Ltd
BLISSGVS.BO,Bliss GVS Pharma Ltd
STYRENIX.BO,Styrenix Performance Materials Ltd
ALEMBICLTD.BO,Alembic Ltd
AMNPLST.BO,Amines & Plasticizers Ltd
ANUHPHR.BO,Anuh Pharma Ltd
MODISONLTD.BO,Modison Ltd
BAYERCROP.BO,Bayer CropScience Ltd
SASHWAT.BO,Sashwat Technocrats Ltd
CHEMOPH.BO,Chemo Pharma Laboratories Ltd
HEUBACHIND.BO,Heubach Colorants India Ltd
COROMANDEL.BO,Coromandel International Ltd
DEEPAKNTR.BO,Deepak Nitrite Ltd
DMCC.BO,DMCC Speciality Chemicals Ltd
FERMENTA.BO,Fermenta Biotech Ltd
GOCLCORP.BO,GOCL Corporation Ltd
JAYCH.BO,Jayshree Chemicals Ltd
KANORICHEM.BO,Kanoria Chemicals & Industries Ltd
KELENRG.BO,KELTECH Energies Ltd
KEMP.BO,Kemp & Company Ltd
NITTAGELA.BO,Nitta Gelatin India Ltd
MPAGI.BO,MP Agro Industries Ltd
OCCL.BO,Oriental Carbon & Chemicals Ltd
PCBL.BO,PCBL Chemical Ltd
AMAL.BO,Amal Ltd
POLYCHEM.BO,Polychem Ltd
PUNJABCHEM.BO,Punjab Chemicals & Crop Protection Ltd
GUJCMDS.BO,Gujchem Distillers India Ltd
SADHNANIQ.BO,Sadhana Nitro Chem Ltd
SUDARSCHEM.BO,Sudarshan Chemical Industries Ltd
TECILCHEM.BO,Tecil Chemicals & Hydro Power Ltd
ULTRAMAR.BO,Ultramarine & Pigments Ltd
TRANSPEK.BO,Transpek Industry Ltd
UNICHEMLAB.BO,Unichem Laboratories Ltd
MYSORPETRO.BO,Mysore Petro Chemicals Ltd
ALKYLAMINE.BO,Alkyl Amines Chemicals Ltd
TUTIALKA.BO,Tuticorin Alkali Chemicals And Fertilizers Ltd
ASTRAZEN.BO,AstraZeneca Pharma India Ltd
PRIMO.BO,Primo Chemicals Ltd
TANFACIND.BO,TANFAC Industries Ltd
GUJPETR.BO,Gujarat Petrosynthese Ltd
SWADEIN.BO,Swadeshi Industries & Leasing Ltd
GUJTHEM.BO,Gujarat Themis Biosyn Ltd
SCBL.BO,Saptak Chem And Business Ltd
MAKERSL.BO,Makers Laboratories Ltd
CONTCHM.BO,Continental Chemicals Ltd
JBCHEPHARM.BO,JB Chemicals & Pharmaceuticals Ltd
ADVPETR-B.BO,Advance Petrochemicals Ltd
APTPACK.BO,Apt Packaging Ltd
BLUECHIPT.BO,Bluechip Tex Industries Ltd
JAGAJITIND.BO,Jagatjit Industries Ltd
KESARENT.BO,Kesar Enterprises Ltd
TI.BO,Tilaknagar Industries Ltd
EMERALL.BO,Emerald Leisures Ltd
RAVALSUGAR.BO,The Ravalgaon Sugar Farm Ltd
SAKHTISUG.BO,Sakthi Sugars Ltd
WALCHANNAG.BO,Walchandnagar Industries Ltd
IFBAGRO.BO,IFB Agro Industries Ltd
DHARSUGAR.BO,Dharani Sugars & Chemicals Ltd
KFBL.BO,Kothari Fermentation & Biochem Ltd
CAPRO.BO,Caprolactam Chemicals Ltd
GMBREW.BO,GM Breweries Ltd
RANASUG.BO,Rana Sugars Ltd
PICCASUG.BO,Piccadily Sugar & Allied Industries Ltd
SDBL.BO,Som Distilleries & Breweries Ltd
CJGEL.BO,CJ Gelatine Products Ltd
SUPDF.BO,Superstar Distilleries & Foods Ltd
ASALCBR.BO,Associated Alcohols & Breweries Ltd
THAKKERS.BO,Thakkers Group Ltd
FOODSIN.BO,Foods & Inns Ltd
IVP.BO,IVP Ltd
